2.664s NetworkManager-wait-online.service
1.285s dev-nvme0n1p3.device
1.275s NetworkManager.service
 768ms lm-sensors.service
 728ms accounts-daemon.service
 680ms udisks2.service
 663ms iio-sensor-proxy.service
 611ms polkit.service
 557ms apparmor.service
 544ms systemd-logind.service
 526ms systemd-udev-trigger.service
 520ms networking.service
 493ms keyboard-setup.service
 408ms user@1000.service
 399ms systemd-modules-load.service
 395ms bluetooth.service
 388ms e2scrub_reap.service
 375ms systemd-journald.service
 372ms upower.service
 369ms boot-efi.mount
 335ms grub-common.service
 293ms smartmontools.service
 284ms sys-kernel-tracing.mount
 279ms kmod-static-nodes.service
 278ms modprobe@drm.service
 278ms modprobe@configfs.service
 276ms modprobe@fuse.service
 275ms run-lock.mount
 275ms sys-kernel-debug.mount
 273ms avahi-daemon.service
 267ms dev-mqueue.mount
 257ms dev-hugepages.mount
 247ms wpa_supplicant.service
 245ms ModemManager.service
 230ms systemd-remount-fs.service
 208ms systemd-tmpfiles-setup.service
 204ms systemd-binfmt.service
 197ms systemd-udev-load-credentials.service
 192ms systemd-udevd.service
 187ms systemd-journal-flush.service
 186ms systemd-hostnamed.service
 180ms systemd-fsck@dev-disk-by\x2duuid-7E82\x2dCA4A.service
 174ms ssh.service
 158ms cups.service
 158ms systemd-rfkill.service
 151ms colord.service
 139ms systemd-tmpfiles-setup-dev-early.service
 137ms modprobe@efi_pstore.service
 136ms sys-fs-fuse-connections.mount
 125ms proc-sys-fs-binfmt_misc.mount
 124ms sys-kernel-config.mount
 105ms dbus.service
 103ms lightdm.service
 100ms console-setup.service
  96ms plymouth-quit-wait.service
  92ms plymouth-read-write.service
  91ms systemd-backlight@leds:spi::kbd_backlight.service
  89ms alsa-restore.service
  88ms systemd-random-seed.service
  74ms plymouth-start.service
  73ms systemd-backlight@backlight:acpi_video0.service
  62ms systemd-sysctl.service
  60ms systemd-user-sessions.service
  43ms rtkit-daemon.service
  42ms ifupdown-pre.service
  39ms systemd-tmpfiles-setup-dev.service
  36ms user-runtime-dir@1000.service
  20ms tmp.mount
